Posted Date,Reference Number,Payee,Address,Amount
11/03/2023,30706005710042048517623,"Online payment from CHK 9780","",157.69
10/30/2023,24692163302101795962042,"E-Z*PASSNY REBILL 800-333-8655 NY","800-333-8655  NY ",-40.00
10/30/2023,24022443302900017200934,"BCD TOFU HOUSE FORT LEE NJ","FORT LEE      NJ ",-63.00
10/30/2023,24034553301003210674147,"NEW HYDE PARK GARDEN SCHO516-4342000 NY","516-4342000   NY ",-62.75
10/27/2023,24445003300000843672423,"WALGREENS #17192 ELMONT NY","ELMONT        NY ",-9.69
10/27/2023,24275393299900011300033,"SHOHRE HEBRONI MD NEW HYDE PARKNY","NEW HYDE PARK NY ",-30.00
10/25/2023,24692163298101136715329,"GOOGLE *YouTubePremium g.co/helppay#CA","g.co/helppay# CA ",-22.99
10/21/2023,24198803293341286979052,"PAYPAL *GAMING CARD EL 4029357733 CA","4029357733    CA ",-6.99
10/19/2023,24445003292000817489499,"WALGREENS #17192 ELMONT NY","ELMONT        NY ",-7.06
10/16/2023,24943003288898000098073,"COSTCO WHSE #0226 WESTBURY NY","WESTBURY      NY ",-30.72
10/11/2023,24943003284898000102028,"COSTCO WHSE #0226 WESTBURY NY","WESTBURY      NY ",-15.44
10/09/2023,24765013280839000215004,"SEASONFRESH SUPERMARKET NEW HYDE PARKNY","NEW HYDE PARK NY ",-21.95
