Date,Receipt,Description,Amount
01/31/2024,,AMAZON.COM          AMZN.COM/BILL       WA,5.74
01/31/2024,,AMAZON.COM          AMZN.COM/BILL       WA,17.97
01/30/2024,,AMAZON SHOP WITH POINTS CREDIT,-24.95
01/30/2024,,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,24.95
01/30/2024,,AMAZON.COM          AMZN.COM/BILL       WA,12.46
01/30/2024,,MOBILE PAYMENT - THANK YOU,-515.78
01/27/2024,,AMAZON MARKEPLACE NA - PA,9.77
01/25/2024,,AMAZON.COM          AMZN.COM/BILL       WA,5.27
01/21/2024,,AMAZON SHOP WITH POINTS CREDIT,-7.32
01/21/2024,,AMAZON.COM          AMZN.COM/BILL       WA,7.32
01/18/2024,,AMAZON MARKEPLACE NA - PA,38.24
01/18/2024,,AMAZON.COM          AMZN.COM/BILL       WA,10.94
01/18/2024,,AMAZON.COM          AMZN.COM/BILL       WA,16.82
01/16/2024,,AMAZON MARKEPLACE NA - PA,17.35
01/16/2024,,AMAZON MARKEPLACE NA - PA,386.27
01/14/2024,,ADOBE PHOTOGPHY PLANSAN JOSE            CA,10.85
01/12/2024,,AMAZON MARKEPLACE NA - PA,4.35
01/07/2024,,AMAZON.COM          AMZN.COM/BILL       WA,6.37
01/07/2024,,AMAZON.COM          AMZN.COM/BILL       WA,9.10
01/05/2024,,AMAZON MARKEPLACE NA - PA,0.45
