Posted Date,Reference Number,Payee,Address,Amount
12/29/2023,24692163363100461387142,"PARKMOBILE 770-818-9036 GA","770-818-9036  GA ",-7.85
12/28/2023,24692163361109109015116,"E-Z*PASSNY REBILL 800-333-8655 NY","800-333-8655  NY ",-25.00
12/28/2023,24943003361838001343060,"DUNKIN' MOBILE AP 800-447-0013 MA","800-447-0013  MA ",-25.00
12/27/2023,24137463361001340797551,"PARKING METERS PILOT PROGBOSTON MA","BOSTON        MA ",-0.50
12/27/2023,24137463361001340797635,"PARKING METERS PILOT PROGBOSTON MA","BOSTON        MA ",-1.00
12/27/2023,24204293361001010100044,"Groupon, Inc. groupon.com IL","groupon.com   IL ",-207.10
12/26/2023,24692163359107617883169,"GOOGLE *YouTubePremium g.co/helppay#CA","g.co/helppay# CA ",-22.99
12/23/2023,24692163356105510479567,"LOWES #00907* 866-483-7521 NC","866-483-7521  NC ",-6.52
12/15/2023,74943003349898001214721,"COSTCO WHSE #0226 WESTBURY NY","WESTBURY      NY ",32.58
12/14/2023,24137463348001288033439,"CVS/PHARMACY #03104 NEW HYDE PARKNY","NEW HYDE PARK NY ",-8.74
12/14/2023,24943003348898000133720,"COSTCO WHSE #0226 WESTBURY NY","WESTBURY      NY ",-27.98
12/11/2023,34306005710030178880867,"Online payment from CHK 9780","",369.88
12/08/2023,24492153341852169886151,"PAYPAL *GAP 402-935-7733 NM","402-935-7733  NM ",-53.47
12/06/2023,24765013340839000265528,"SEASONFRESH SUPERMARKET NEW HYDE PARKNY","NEW HYDE PARK NY ",-22.62
12/04/2023,24137463338001272392918,"BCS*SCOPE EDUCATION SER 631-360-0800 NY","631-360-0800  NY ",-145.00
