Date,Receipt,Description,Amount
07/28/2024,,AMAZON.COM          AMZN.COM/BILL       WA,5.61
07/28/2024,,AMAZON.COM          AMZN.COM/BILL       WA,14.28
07/28/2024,,AMAZON.COM          AMZN.COM/BILL       WA,14.93
07/27/2024,,AMAZON MARKEPLACE NA PA,13.36
07/19/2024,,MINT MOBILE         COSTA MESA          CA,266.01
07/15/2024,,AMAZON MARKEPLACE NA PA,24.96
07/13/2024,,AMAZON MARKEPLACE NA PA,70.58
07/12/2024,,ADOBE Adobe Systems SAN JOSE            CA,10.85
07/12/2024,,AMAZON MARKEPLACE NA PA,281.34
07/11/2024,,DISNEYPLUS          888-905-7888        CA,1.99
07/10/2024,,AMAZON MARKEPLACE NA PA,83.62
07/09/2024,,MICROSOFT#G052803666MSBILL.INFO,0.03
07/06/2024,,AMAZON MARKEPLACE NA PA,8.36
07/06/2024,,AMAZON.COM          AMZN.COM/BILL       WA,291.18
07/05/2024,,AMAZON MARKEPLACE NA PA,22.79
07/01/2024,,MOBILE PAYMENT - THANK YOU,-691.39
