date,category,transaction,description
2024-07-01,PROPERTY,6522.84,ONLINE TRANSFER REF #IB0NQ4PRY3 TO MORTGAGE JULY PRINCIPAL AND EXTRA
2024-07-01,UTILITIES,77.2,NGRID37 DES:NGRID37 ID:XXXXX85075214 INDN:Zian Chen CO ID:XXXXX19782 PPD
2024-07-02,CREDIT CARD,22.99,BANK OF AMERICA CREDIT CARD Bill Payment
2024-07-03,CREDIT CARD,219.28,TD BANK          PAYMENT 
2024-07-08,UTILITIES,39.99,VERIZON          PAYMENTREC 
2024-07-09,CREDIT CARD,5.74,TD BANK          PAYMENT 
2024-07-10,UTILITIES,175.62,LIPA             DIRECTPAY 
2024-07-10,UTILITIES,84.79,NGRID37          NGRID37WEB 
2024-07-11,CREDIT CARD,85.94,Bank of America Credit Card Bill Payment
2024-07-12,UTILITIES,43.99,VERIZON*RECURRING PAY 07/11 PURCHASE 800-VERIZON FL
2024-07-12,UTILITIES,42.11,LIPA             DIRECTPAY 
2024-07-15,EXPENSE,240.63,CHECK # 174
2024-07-15,CREDIT CARD,90.17,CREDIT CARD      WEB PYMT 
2024-07-17,SUBSCRIPTION,10.0,PLANET FITNESS C DES:IClub Fees ID:PRXXXXX03323281 INDN:ZIAN CHEN CO ID:GXXXXX2737 PPD PMT INFO:XXXXX14320
2024-07-17,EXPENSE,68.0,CHECK # 178
2024-07-17,EXPENSE,100.0,Synchrony Bank CC PYMT Jul 17 601918212168394 ZIAN CHEN
2024-07-17,SUBSCRIPTION,10.0,PLANET FITNESS C ICLUB FEES 
2024-07-18,CREDIT CARD,2000.0,ONLINE TRANSFER REF #IB0NWTLK83 TO WELLS FARGO AUTOGRAPH VISA CARD PAY FOR HISTORIA HOSPITAL BILL
2024-07-29,CREDIT CARD,925.22,ONLINE TRANSFER REF #IB0NZN9472 TO WELLS FARGO AUTOGRAPH VISA CARD XXXXXXXXXXXX8978 ON 07/28/24
2024-07-29,SUBSCRIPTION,10.67,PAYPAL DES:INST XFER ID:SPOTIFYUSAI INDN:ZIAN CHEN CO ID:PAYPALSI77 WEB
